#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
athlete;Athlete;;;;;;;;;;;;x
athlete_desc;'So, wait, are they playing American football or soccer?'\n'Yes.';;;;;;;;;;;;x
artist;Artist;;;;;;;;;;;;x
artist_desc;A lover of beauty, this individual is both a patron and a practitioner of all forms of the arts, ranging from painting, holograms and movies to fanfiction and song.;;;;;;;;;;;;x
gardener;Gardener;;;;;;;;;;;;x
intellectual;Intellectual;;;;;;;;;;;;x
intellectual_desc;There is no wealth like knowledge, no poverty like ignorance.;;;;;;;;;;;;x
mystic;Mystic;;;;;;;;;;;;x
has_great_depression_desc;This character is experiencing the demoralizing effects of an economic depression;;;;;;;;;;;;x
has_great_depression_death;This character couldn't handle the economic aftermath of the Crisis;;;;;;;;;;;;x
GREAT_DEPRESSION_INFO;An economic depression is devastating the economy in this sector.;;;;;;;;;;;;;x
has_cosmic_radiation;Radiation Sickness;;;;;;;;;;;;x
has_cosmic_radiation_desc;This character is suffering from cosmic radiation;;;;;;;;;;;;x
has_cosmic_radiation_death;This character died of cosmic radiation poisoning;;;;;;;;;;;;x
COSMIC_RADIATION_INFO;An unusual amount of gamma radiation is emitting from a Superluminous Hypernova.;;;;;;;;;;;;;x
cosmic_radiation;Cosmic Radiation;;;;;;;;;;;;;x
gmo;Genetically Modified Organism;;;;;;;;;;;;;x
gmo_desc;This character was either genetically modified or inherited this gene from a genetically modified individual.;;;;;;;;;;;;;x
vat_born;VAT Born;;;;;;;;;;;;;x
vat_born_desc;This character was decanted in a VAT chamber, an artificially-created human grown in a test tube. The process is similar to cloning but with multiple donors.;Ce personnage est un clône, un être humain créé artificiellement à partir du modèle génétique de quelqu'un d'autre.;;;;;;;;;;;;x
heavy_worlder;Heavy Worlder;;;;;;;;;;;;;x
heavy_worlder_desc;This character, or an ancestor, was born on a high gravity world. They are physically much stronger than Martians.;;;;;;;;;;;;;x
spacer_physiology;Spacer Physiology;;;;;;;;;;;;;x
spacer_physiology_desc;This character's physiology has been changed from multiple generations spent in low gravity. They are much taller and thinner on average than other humans and cannot survive on a high gravity planet for very long without special acclimating drugs.;;;;;;;;;;;;;x
mobster;Mobster;;;;;;;;;;;;;x
mobster_desc;This person is of an organized crime syndicate originating from back before space travel.;;;;;;;;;;;;;x
organic_wifi;BiFi;;;;;;;;;;;;;x
organic_wifi_desc;This character, or an ancestor, was genetically modified to posses a biological WiFi connection, a useful ability for staying connected and accessing information from the outernet without the need for gadgets or cybernetics. Essentially, they can communicate telepathically with other BiFi.;;;;;;;;;;;;;x
cat_splice;Nekojin;;;;;;;;;;;;;x
cat_splice_desc;This character, or an ancestor, had their genes spliced with a cat. Though still recognizably human, the results are uncanny.;;;;;;;;;;;;;x
relaxed;Relaxed;;;;;;;;;;;;x
relaxed_desc;This character currently feels like things are going well and their life is under their control.;;;;;;;;;;;;x
on_leave;On Leave;;;;;;;;;;;;;x
on_leave_desc;This character is currently taking a leave of absence from their official duties.;;;;;;;;;;;;;x
EVTDESCHEALTH50;All good things must pass. Lately you've found your good humor slipping. The universe once again feels like a vast, unknowable, and hostile place, where your well-being is a temporary accident.;;;;;;;;;;;;x
EVTOPTAHEALTH50;Ah. Things are back to normal, then.;;;;;;;;;;;;x
EVTDESCHEALTH51;[Root.GetCrisisBestName] has gained the Stressed trait.;;;;;;;;;;;;x
EVTDESCHEALTH52;[Root.GetCrisisBestName] has lost the Stressed trait.;;;;;;;;;;;;x
EVTDESCHEALTH53;[Root.GetCrisisBestName] has gained the Relaxed trait.;;;;;;;;;;;;x
EVTDESCHEALTH54;[Root.GetCrisisBestName] has lost the Relaxed trait.;;;;;;;;;;;;x
