emul_nimrod_modifier;Enables the §YConfusion of Babel§! outcome for §YSabotage Province§!.\nBoosts §YSow Dissent§!, §YConfusion of Babel§! and §YOversee Construction§! both as liege and as councillor.\nThis trait will be lost by §YContent§!, §YTrusting§! and §YHonest§! characters.;;;;;;x
emul_gilgamesh;Follower of Gilgamesh;;;;;;;;;;;;;x
emul_gilgamesh_desc;This character is following the steps of Emperor Gilgamesh, Greatest of All Kings, ruler of Mesopotamia in times long gone. The Epic of Gilgamesh is one of the most sacred texts of the Mesopotamian religion. It's about his adventures, his friend's tragedy and the quest for eternal youth.;;;;;;;;;;;;;x 
emul_gilgamesh_modifier;Enables §YLegendary Gathering§! after 50 years.\nAlways enables the §YDuel§! decision.\nMay have some mystical effects.\nBoosts §YProselytize§! both as liege and as councillor.\nThis trait will be lost by §YCraven§!, §YContent§!, §YDeceitful§!, §YArbitary§! and §YDull§! characters.;;;;;;x
hammurabi_bonus_1;Follower of Hammurabi Bonus;;;;;;;;;;;;;x
hammurabi_bonus_2;Follower of Hammurabi Bonus;;;;;;;;;;;;;x
confusion_of_babel;Confusion of Babel;;;;;;;;;;;;;x
mesopotamian_choose_emul_trait;Choose a Patron Agent;;;;;;;;;;;;;x
mesopotamian_choose_emul_trait_desc;There are many legendary agents of Allah who served Him before the event. You can follow one of them and they might help you with your matters from the Paradise. Please note that some of them could be unavailable due to your personality traits.;;;;;;;;;;;;;x
EVTDESCAOS1001;Which legendary agent of Allah do you want to choose as your patron and model for you life?;;;;;;;;;;;;;x
EVTOPTAAOS1001;Hammurabi the Lawgiver!;;;;;;;;;;;;;x
EVTOPTBAOS1001;Ashurbanipal the Great!;;;;;;;;;;;;;x
EVTOPTCAOS1001;Nebuchadnezzar the Burner!;;;;;;;;;;;;;x
EVTOPTDAOS1001;Let's see my other options.;;;;;;;;;;;;;x
EVTDESCAOS1002;Which legendary agent of Allah do you want to choose as your patron and model for you life?;;;;;;;;;;;;;x
EVTOPTAAOS1002;Nimrod the Builder!;;;;;;;;;;;;;x
EVTOPTBAOS1002;Gilgamesh, Greatest of All Kings!;;;;;;;;;;;;;x
EVTOPTCAOS1002;I changed my mind, I want none of these.;;;;;;;;;;;;;x
EVTOPTDAOS1002;Let's go back to the previous ones.;;;;;;;;;;;;;x
EVTDESCAOS1006;You have changed. With your new personality traits, you are unworthy to follow the legendary agent you have chosen.;;;;;;;;;;;;;x
EVTOPTAAOS1006;May Allah show me the right path.;;;;;;;;;;;;;x
EVTOPTBAOS1006;I want to keep following him therefore I will.;;;;;;;;;;;;;x
EVTNAMEAOS1007;Confusion of Babel;;;;;;;;;;;;;x
EVTDESCAOS1007;Your machinations were successful in [Location.Location.GetName]. The numerous secret organisations, smuggled settlers and forbidden rites have all came together. Today you ordered all your conspirators to uncover themself. Now there is a complete confusion but the [Root.Liege.Culture.GetName] language seems to dominate the other.;;;;;;;;;;;;;x
EVTOPTAAOS1007;My liege will be pleased.;;;;;;;;;;;;;x
EVTDESCAOS1008;[From.GetTitledFirstName] reported me that [From.GetHerHis] machinations in [From.Location.GetName] were successful. While [From.GetHerHis] explanation was vague because [From.GetSheHe] wanted to keep [From.GetHerHis] secrets, one thing is clear. Now there is a complete confusion but the [Root.Culture.GetName] language seems to dominate the other.;;;;;;;;;;;;;x
EVTOPTAAOS1008;Glory to Nimrod!;;;;;;;;;;;;;x
EVTNAMEAOS1009;Master Chariot Builder Found;;;;;;;;;;;;;x
EVTDESCAOS1009;While preforming your duties in [Root.Location.GetName], a man approached you. He explained that he had been building carts for long years but he always wanted more. He offered to build chariots for the army. He has already built one at his workshop and you must admit, you have never seen one at such high quality.;;;;;;;;;;;;;x
EVTOPTAAOS1009;My liege will be pleased.;;;;;;;;;;;;;x
EVTDESCAOS1010;[From.GetTitledFirstName] reported me that a master chariot builder was found in [From.Location.GetName]. He has already started his work in [chariot_builder_target.GetName]. It seems that he can provide them at high quality and he will faithfully serve you until his death.;;;;;;;;;;;;;x
EVTOPTAAOS1010;Glory to Ashurbanipal!;;;;;;;;;;;;;x
ashurbanipal_chariot;Master Chariot Builder;;;;;;;;;;;;;x
iraqi_opinion;[iraqi.GetName] Opinion;Opinion [iraqi.GetName];[iraqi.GetName]e Meinung;;Parecer [iraqi.GetName];;;;;;;;;x
assyrian_opinion;[assyrian.GetName] Opinion;Opinion [assyrian.GetName];[assyrian.GetName]e Meinung;;Parecer [assyrian.GetName];;;;;;;;;x
mesopotamian_opinion;[mesopotamian.GetName] Opinion;Opinion [mesopotamian.GetName];[mesopotamian.GetName]e Meinung;;Parecer [mesopotamian.GetName];;;;;;;;;x
